"","FromChannelTitle","ChannelTitle","FromChannelId","ChannelId","Recommends","RecommendedViews","RecommendsPerVideo"
"1","MSNBC","CNN","UCaXkIU1QidjPwiAYu6GcHjg","UCupvZG-5ko_eiXAupbDfxWw",1655,132200009,0.381600184459304
"2","Fox News","CNN","UCXIJgqnII2ZOINSWNOGFThA","UCupvZG-5ko_eiXAupbDfxWw",1105,128833740,0.279393173198483
"3","CNN","MSNBC","UCupvZG-5ko_eiXAupbDfxWw","UCaXkIU1QidjPwiAYu6GcHjg",905,191257309,0.279925765542839
"4","NBC News","CNN","UCeY0bbntWzzVIaj2z3QigXg","UCupvZG-5ko_eiXAupbDfxWw",876,39039446,0.18170504044804
"5","CNBC Television","CNBC","UCrp_UI8XtuYfpiqluWLD7Lw","UCvJJ_dzjViJCoLf5uKUTwoA",629,2434337,0.127612091702171
"6","The Next News Network","Fox News","UCLoNQH9RCndfUGOb2f7E1Ew","UCXIJgqnII2ZOINSWNOGFThA",603,20088393,0.154774127310062
"7","The Young Turks","CNN","UC1yBKRuGpC1tSM73A0ZjYjQ","UCupvZG-5ko_eiXAupbDfxWw",537,62530014,0.170638703527169
"8","JRE Clips","Joe Rogan University - Fan Channel","UCnxGkOGNMqQEUMvroOWps6Q","UCrm7RGOsstgF4qAG5mFGK-w",536,112906432,0.348278102664068
"9","NBC News","MSNBC","UCeY0bbntWzzVIaj2z3QigXg","UCaXkIU1QidjPwiAYu6GcHjg",514,10428208,0.106616884463804
"10","PBS NewsHour","CNN","UC6ZFN9Tx6xh-skXCuRHCDpQ","UCupvZG-5ko_eiXAupbDfxWw",499,10248652,0.170715018816285
"11","Washington Post","CNN","UCHd62-u_v4DvJ8TCFtpi4GA","UCupvZG-5ko_eiXAupbDfxWw",467,8364645,0.17562993606619
"12","Tony's - 24/7 Eyes","CNN","UCRPdcY4_Al8TrRtgkMzkrQQ","UCupvZG-5ko_eiXAupbDfxWw",435,3630968,0.0891758917589176
"13","MSNBC","The Late Show with Stephen Colbert","UCaXkIU1QidjPwiAYu6GcHjg","UCMtFAi84ehTSYSE9XoHefig",395,44250835,0.091076781185151
"14","NBC News","Fox News","UCeY0bbntWzzVIaj2z3QigXg","UCXIJgqnII2ZOINSWNOGFThA",395,18525225,0.0819332088778262
"15","CNN","Fox News","UCupvZG-5ko_eiXAupbDfxWw","UCXIJgqnII2ZOINSWNOGFThA",369,83640303,0.114135477884318
"16","The Young Turks","MSNBC","UC1yBKRuGpC1tSM73A0ZjYjQ","UCaXkIU1QidjPwiAYu6GcHjg",368,42820858,0.116936765173181
"17","Fox News","MSNBC","UCXIJgqnII2ZOINSWNOGFThA","UCaXkIU1QidjPwiAYu6GcHjg",358,38103815,0.0905183312262958
"18","MSNBC","Fox News","UCaXkIU1QidjPwiAYu6GcHjg","UCXIJgqnII2ZOINSWNOGFThA",352,25855182,0.0811620936130966
"19","Washington Post","MSNBC","UCHd62-u_v4DvJ8TCFtpi4GA","UCaXkIU1QidjPwiAYu6GcHjg",346,5288598,0.13012410680707
"20","CNN","The Late Show with Stephen Colbert","UCupvZG-5ko_eiXAupbDfxWw","UCMtFAi84ehTSYSE9XoHefig",339,90107949,0.104856170739251
"21","Jimmy Kimmel Live","The Late Show with Stephen Colbert","UCa6vGFO9ty8v5KZJXQxdhaw","UCMtFAi84ehTSYSE9XoHefig",332,120011475,0.326129666011788
"22","PBS NewsHour","MSNBC","UC6ZFN9Tx6xh-skXCuRHCDpQ","UCaXkIU1QidjPwiAYu6GcHjg",320,7377967,0.109476565172768
"23","The Ring of Fire","CNN","UCYWIEbibRcZav6xMLo9qWWw","UCupvZG-5ko_eiXAupbDfxWw",294,10300661,0.158149542764927
"24","The Ring of Fire","MSNBC","UCYWIEbibRcZav6xMLo9qWWw","UCaXkIU1QidjPwiAYu6GcHjg",286,10008873,0.153846153846154
"25","USA TODAY","CNN","UCP6HGa63sBC7-KHtkme-p-g","UCupvZG-5ko_eiXAupbDfxWw",284,7273329,0.0734229576008273
"26","Fox News Insider","Fox News","UCqlYzSgsh5jdtWYfVIBoTDw","UCXIJgqnII2ZOINSWNOGFThA",280,9647280,0.189189189189189
"27","One America News Network","Fox News","UCNbIDJNNgaRrXOD7VllIMRQ","UCXIJgqnII2ZOINSWNOGFThA",263,2118277,0.0989093644227153
"28","Fox News","Fox News Insider","UCXIJgqnII2ZOINSWNOGFThA","UCqlYzSgsh5jdtWYfVIBoTDw",259,32141798,0.0654867256637168
"29","Al Jazeera English","CNN","UCNye-wNBqNL5ZzHSJj3l8Bg","UCupvZG-5ko_eiXAupbDfxWw",258,13265587,0.0595842956120092
"30","Tony's - 24/7 Eyes","MSNBC","UCRPdcY4_Al8TrRtgkMzkrQQ","UCaXkIU1QidjPwiAYu6GcHjg",248,2364118,0.050840508405084
"31","The Young Turks","The Late Show with Stephen Colbert","UC1yBKRuGpC1tSM73A0ZjYjQ","UCMtFAi84ehTSYSE9XoHefig",232,26073811,0.0737210041309183
"32","Tony's - 24/7 Eyes","Fox News","UCRPdcY4_Al8TrRtgkMzkrQQ","UCXIJgqnII2ZOINSWNOGFThA",222,1605359,0.045510455104551
"33","Roland S. Martin","CNN","UCjXB7nX8bL2U2sje8d212Yw","UCupvZG-5ko_eiXAupbDfxWw",216,3285634,0.0653555219364599
"34","VOA News","CNN","UCVSNOxehfALut52NbkfRBaA","UCupvZG-5ko_eiXAupbDfxWw",212,956123,0.0757954951734001
"35","PBS NewsHour","Fox News","UC6ZFN9Tx6xh-skXCuRHCDpQ","UCXIJgqnII2ZOINSWNOGFThA",208,3361124,0.071159767362299
"36","Washington Post","Fox News","UCHd62-u_v4DvJ8TCFtpi4GA","UCXIJgqnII2ZOINSWNOGFThA",208,3181995,0.0782248965776608
"37","Tony's - 24/7 Eyes","GLOBAL News","UCRPdcY4_Al8TrRtgkMzkrQQ","UCh2p1Pb4o-NXQsbL__ikakw",204,750069,0.041820418204182
"38","CNBC Television","Wall Street Journal","UCrp_UI8XtuYfpiqluWLD7Lw","UCK7tptUDHh-RYDsdxO1-5QQ",198,222020,0.0401704199634814
"39","Rebel Media","Fox News","UCGy6uV7yqGWDeUWTZzT3ZEg","UCXIJgqnII2ZOINSWNOGFThA",196,4242508,0.0924092409240924
"40","One America News Network","Tipping Point With Liz Wheeler on OAN","UCNbIDJNNgaRrXOD7VllIMRQ","UCMfKNuYXBc9bxb0fg2cGTBg",192,1779445,0.0722075968409176
"41","Late Night with Seth Meyers","The Late Show with Stephen Colbert","UCVTyTA7-g9nopHeHbeuvpRA","UCMtFAi84ehTSYSE9XoHefig",183,73861924,0.321052631578947
"42","The Young Turks","Fox News","UC1yBKRuGpC1tSM73A0ZjYjQ","UCXIJgqnII2ZOINSWNOGFThA",178,15288198,0.0565618048935494
"43","MSNBC","PBS NewsHour","UCaXkIU1QidjPwiAYu6GcHjg","UC6ZFN9Tx6xh-skXCuRHCDpQ",174,11692280,0.040119898547383
"44","Al Jazeera English","MSNBC","UCNye-wNBqNL5ZzHSJj3l8Bg","UCaXkIU1QidjPwiAYu6GcHjg",169,11650609,0.0390300230946882
